orbit,day,a_km,e,i_deg,raan_deg,argp_deg,periapsis_km,apoapsis_km
Elliptical lunar frozen orbit (12 h relay),0.9791666666666666,6142.665011231895,0.6007651501680479,56.971177354920044,347.05965141566304,89.45895175260574,2452.365943327152,9832.964079136638
Elliptical lunar frozen orbit (12 h relay),0.9861111111111112,6142.485410508037,0.6008024975770037,56.9711339837638,346.96736109815026,89.45568714846729,2452.0648345445015,9832.905986471571
Elliptical lunar frozen orbit (12 h relay),0.9930555555555556,6142.336688500647,0.6008355462401443,56.97110947347541,346.8751559429164,89.45249096372255,2451.8024690744815,9832.870907926814
Elliptical lunar frozen orbit (12 h relay),1.0,6142.219715763373,0.6008641449100016,56.97109990127641,346.7830395469497,89.44933304597095,2451.5801184018605,9832.859313124885
Elliptical lunar frozen orbit (12 h relay),1.0069444444444444,6142.135188221316,0.6008881806361774,56.971101171537896,346.6910148498842,89.44618223686336,2451.398749749564,9832.871626693068
Elliptical lunar frozen orbit (12 h relay),1.0138888888888888,6142.083630226751,0.6009075791333363,56.9711090464686,346.5990841144215,89.44300681138401,2451.2590251527,9832.9082353008
Elliptical lunar frozen orbit (12 h relay),1.0208333333333333,6142.065394800378,0.6009223053119699,56.97111917650763,346.50724890691856,89.4397749164248,2451.1612983800605,9832.969491220696
Elliptical lunar frozen orbit (12 h relay),1.0277777777777777,6142.080663886395,0.6009323633530347,56.97112713271835,346.4155100789918,89.43645501119414,2451.105614632167,9833.05571314062
Elliptical lunar frozen orbit (12 h relay),1.0347222222222223,6142.129446589688,0.6009377967508566,56.971128439901285,346.3238677492092,89.43301630760557,2451.091709597523,9833.167183581852
Elliptical lunar frozen orbit (12 h relay),1.0416666666666667,6142.211575111705,0.6009386883514489,56.971118610789595,346.23232128544004,89.42942922770825,2451.11900758699,9833.30414263642
Elliptical lunar frozen orbit (12 h relay),1.0486111111111112,6142.326699954158,0.6009351600528099,56.97109318258884,346.14086928771195,89.42566586262681,2451.1866214205584,9833.466778487758
Elliptical lunar frozen orbit (12 h relay),1.0555555555555556,6142.474282699844,0.6009273724400467,56.97104775524715,346.04950957157916,89.42170045040719,2451.293351716466,9833.655213683222
Elliptical lunar frozen orbit (12 h relay),1.0625,6142.653586711815,0.6009155242281133,56.970978032193486,345.95823915219154,89.4175098725566,2451.4376865011836,9833.869486922446
Elliptical lunar frozen orbit (12 h relay),1.0694444444444444,6142.863665508717,0.6008998514922802,56.97087986400092,345.86705422923404,89.41307417284573,2451.6178011672046,9834.10952985023
Elliptical lunar frozen orbit (12 h relay),1.0763888888888888,6143.103348637944,0.600880626615397,56.97074929550899,345.77595017289156,89.40837709920676,2451.831559145233,9834.375138130654
Elliptical lunar frozen orbit (12 h relay),1.0833333333333333,6143.371224010434,0.6008581569908118,56.970582616655456,345.68492151118977,89.40340668466379,2452.076512641137,9834.665935379731
Elliptical lunar frozen orbit (12 h relay),1.090277777777778,6143.665616995293,0.6008327833167577,56.970376418165564,345.59396191922536,89.39815585835518,2452.3499045685458,9834.98132942204
