arc,arc_hours,phase,start_days_from_perilune,separation_km,model,burn_m_s,n_measurements,excluded_fraction,separation_min_km,separation_max_km,target_moon_distance_min_km,los_departure_max_arcsec,range_sigma_km,cross_range_sigma_km,range_sigma_weaker_prior_km,prior_limited,scale_information_ratio
12 h,12.0,0.25,1.6402120875131325,50.0,linear,0.0,73,0.0,48.84810323109665,49.99999999999727,58065.5820052536,5.445495646225233,952.7800424115795,0.0019883977052198567,9527.800423714993,True,7.405894670430258e-13
12 h,12.0,0.25,1.6402120875131325,50.0,nonlinear,0.5,73,0.0,48.84810323109665,49.99999999999727,58065.5820052536,5.445495646225233,0.08067700879081485,0.0018568522132884995,0.08067700997089794,False,21974917209.7545
12 h,12.0,0.25,1.6402120875131325,50.0,linear,0.5,73,0.0,48.84810323109665,49.99999999999727,58065.5820052536,5.445495646225233,0.08067975887295063,0.0018568370725061023,0.08067976005308178,False,21969721362.467667
12 h,12.0,0.2916666666666667,1.9135807687653215,50.0,nonlinear,0.0,73,0.0,48.98210894086948,49.99999999999542,62197.92212713029,4.306049437043782,948.6019684802083,0.0019943501972941678,6196.07334032214,True,264.2613461597436
12 h,12.0,0.2916666666666667,1.9135807687653215,50.0,linear,0.0,73,0.0,48.98210894086948,49.99999999999542,62197.92212713029,4.306049437043782,955.1076604768258,0.0019886866793247305,9551.076604443095,True,6.010462112427739e-13
12 h,12.0,0.2916666666666667,1.9135807687653215,50.0,nonlinear,0.5,73,0.0,48.98210894086948,49.99999999999542,62197.92212713029,4.306049437043782,0.08041437478993756,0.0018589252394481466,0.08041437599600916,False,22180996551.719013
12 h,12.0,0.2916666666666667,1.9135807687653215,50.0,linear,0.5,73,0.0,48.98210894086948,49.99999999999542,62197.92212713029,4.306049437043782,0.08041660536530447,0.0018589128761642734,0.08041660657164713,False,22176856460.426617
12 h,12.0,0.3333333333333333,2.1869494500175097,50.0,nonlinear,0.0,73,0.0,49.06381059716669,49.999999999997776,65498.96978500834,3.6260722715818976,953.3204826469433,0.0019913660186740125,7478.570911736337,True,187.22247479659248
12 h,12.0,0.3333333333333333,2.1869494500175097,50.0,linear,0.0,73,0.0,49.06381059716669,49.999999999997776,65498.96978500834,3.6260722715818976,956.3445660213583,0.0019888117069097565,9563.44565982867,True,7.305888490798094e-13
12 h,12.0,0.3333333333333333,2.1869494500175097,50.0,nonlinear,0.5,73,0.0,49.06381059716669,49.999999999997776,65498.96978500834,3.6260722715818976,0.08015010324037787,0.001860524887768624,0.080150104461753,False,22354121027.213852
12 h,12.0,0.3333333333333333,2.1869494500175097,50.0,linear,0.5,73,0.0,49.06381059716669,49.999999999997776,65498.96978500834,3.6260722715818976,0.08015201536104789,0.001860514303976294,0.08015201658242133,False,22350614639.31571
12 h,12.0,0.375,2.4603181312696987,50.0,nonlinear,0.0,73,0.0,49.11076082640179,50.000000000003894,68021.85026987971,3.21764370513753,955.5552615967105,0.0019904810472807888,8384.88396883185,True,147.13041767032615
12 h,12.0,0.375,2.4603181312696987,50.0,linear,0.0,73,0.0,49.11076082640179,50.000000000003894,68021.85026987971,3.21764370513753,957.0008854905534,0.0019890627088556176,9570.008854592243,True,5.942706068647547e-13
12 h,12.0,0.375,2.4603181312696987,50.0,nonlinear,0.5,73,0.0,49.11076082640179,50.000000000003894,68021.85026987971,3.21764370513753,0.07991579821142071,0.001861687742962975,0.079915799441044,False,22497753940.992146
12 h,12.0,0.375,2.4603181312696987,50.0,linear,0.5,73,0.0,49.11076082640179,50.000000000003894,68021.85026987971,3.21764370513753,0.07991751963862924,0.001861678289727653,0.0799175208683541,False,22494627578.44458
