phase,burn_m_s,lowest_perigee_altitude_km
0.2500,-50.0,372917.4
0.2500,-48.0,372347.8
0.2500,-46.0,371796.4
0.2500,-44.0,371271.3
0.2500,-42.0,370781.5
0.2500,-40.0,370336.3
0.2500,-38.0,366521.8
0.2500,-36.0,365742.7
0.2500,-34.0,363004.7
0.2500,-32.0,360345.0
0.2500,-30.0,358025.9
0.2500,-28.0,356358.6
0.2500,-26.0,355600.4
0.2500,-24.0,355788.3
0.2500,-22.0,356646.4
0.2500,-20.0,357725.5
0.2500,-18.0,358684.8
0.2500,-16.0,359493.6
0.2500,-14.0,360417.2
0.2500,-12.0,361809.8
0.2500,-10.0,363880.2
0.2500,-8.0,366599.9
0.2500,-6.0,369764.2
0.2500,-4.0,373083.7
0.2500,-2.0,376157.9
0.2500,2.0,376199.7
0.2500,4.0,372983.0
0.2500,6.0,368623.0
0.2500,8.0,363132.7
0.2500,10.0,356917.8
0.2500,12.0,371674.5
0.2500,14.0,375553.1
0.2500,16.0,375614.1
0.2500,18.0,375382.2
0.2500,20.0,375217.9
0.2500,22.0,375133.0
0.2500,24.0,375135.7
0.2500,26.0,375229.8
0.2500,28.0,375414.4
0.2500,30.0,375683.7
0.2500,32.0,376028.5
0.2500,34.0,376438.8
0.2500,36.0,376910.9
0.2500,38.0,376509.2
0.2500,40.0,372637.4
0.2500,42.0,370240.1
0.2500,44.0,376260.3
0.2500,46.0,375970.0
0.2500,48.0,375696.2
0.2500,50.0,375477.0
0.2500,52.0,375322.9
0.2500,54.0,374752.3
0.2500,56.0,374220.5
0.2500,58.0,373893.7
0.2500,60.0,374656.4
0.2500,62.0,377309.7
0.2500,64.0,377249.4
0.2500,66.0,377185.9
0.2500,68.0,377119.3
0.2500,70.0,377049.6
0.2500,72.0,376976.7
0.2500,74.0,376900.6
0.2500,76.0,376821.4
0.2500,78.0,376738.9
0.2500,80.0,376653.3
0.2500,82.0,376564.4
0.2500,84.0,376472.3
0.2500,86.0,376377.0
0.2500,88.0,376278.5
0.2500,90.0,376176.7
0.2500,92.0,376071.7
0.2500,94.0,375963.4
0.2500,96.0,375851.9
0.2500,98.0,375737.2
0.2500,100.0,375619.2
0.2500,102.0,375498.0
0.2500,104.0,375373.5
0.2500,106.0,375245.9
0.2500,108.0,375115.0
0.2500,110.0,374981.0
0.2500,112.0,374843.8
0.2500,114.0,374703.4
0.2500,116.0,374559.9
0.2500,118.0,374413.3
0.2500,120.0,374263.5
0.2500,122.0,374110.8
0.2500,124.0,373954.9
0.2500,126.0,373796.1
0.2500,128.0,373634.3
0.2500,130.0,373469.6
0.2500,132.0,373301.9
0.2500,134.0,373131.4
0.2500,136.0,372958.1
0.2500,138.0,372782.0
0.2500,140.0,372603.1
0.2500,142.0,372421.6
0.2500,144.0,372237.5
0.2500,146.0,372050.7
0.2500,148.0,371861.4
0.2500,150.0,371669.7
0.2500,152.0,371475.5
0.2500,154.0,371279.0
0.2500,156.0,371080.1
0.2500,158.0,370879.1
